Show,Season,Network,Tags,Score,Tier
Task,1,HBO,"Feel Something, Enjoyed, May Cry",10,S
The Pitt,1,HBO,"Feel Something, Enjoyed, May Cry",10,S
The Rehersal,2,HBO,"Feel Something, Enjoyed, Bravo Writers, IRL LOL",10,S
Black Rabbit,1,Netflix,"Feel Something, May Cry",10,A
The Lowdown,1,Hulu,"Feel Something, Enjoyed, Bravo Writers",10,A
South Park,27,Paramount,"Bravo Writers, Enjoyed, Zeitgeist, LOL Writers, Expired, IRL LOL",9,B
Plur1bus,1,Apple,"Bravo Writers, Enjoyed, Zeitgeist",9,A
Adolesence,1,Netflix,"Feel Something, Bravo Writers",9,A
The Studio,1,Apple,"Bravo Writers, Enjoyed, IRL LOL",9,A
Severance,2,Apple,Enjoyed,8,B
White Lotus,3,HBO,Enjoyed,8,B
The Chair Company,1,,"Enjoyed, Bravo Writers",8,A
The Beast in Me,1,Netflix,Enjoyed,8,A
Tatsuki Fujimoto 17-26,1,,"Bravo Writers, Enjoyed, Impressive Production",7,Z
Yellowjackets,3,,Enjoyed,7,C
Your Honor,1,Showtime,"Enjoyed, Forgetable, Expired",7,C
Squid Game,3,Netflix,"Zeitgeist, Impressive Production",7,B
Wednesday,2,Netflix,Enjoyed,7,B
The Last of Us,2,HBO,"Enjoyed, Impressive Production",7,B
Wayward,1,,,7,B
The Night Agent,2,Netflix,Forgetable,6,D
Hells Kitchen,24,,"Enjoyed, Forgetable",6,D
Stranger Things,5,Netflix,"Expired, Enjoyed, Impressive Production",6,C
Andor,2,Disney+,"Enjoyed, Forgetable",6,B
Love is Blind,9,,,4,F
Squid Game: The Challenge,2,,,4,F
Righteous Gemstones,4,,Expired,4,D
The Penguin,1,HBO,"Forgetable, Impressive Production",4,D
Silo,2,Apple,"Forgetable, Impressive Production",4,D
Dept Q,1,Netflix,"Impressive Production, Bravo Writers",4,D
The Morning Show,4,,"LOL Writers, Don't Watch, Expired, Forgetable",3,C
Running Point,1,,"Don't Watch, LOL Writers",1,Z
Alls Fair,1,Hulu,,0,Z
